Format: <sequence number>: <TID>, <isBundle>, <isWrite>, <data size>, <data address>, <PC>
0: 0, 0,  0,  8, 0xffffc8843330, 0x4005e0
1: 0, 0,  0,  8, 0x400600, 0x4005ec
2: 0, 0,  0,  8, 0x400608, 0x4005f0
3: 0, 0,  0,  8, 0x400610, 0x4005f4
4: 0, 0,  0,  8, 0x41ffd8, 0x4005a4
5: 0, 0,  1, 16, 0xffffc88431b0, 0x40080c
6: 0, 0,  1, 16, 0xffffc88431c0, 0x400814
7: 0, 0,  1, 16, 0xffffc88431e0, 0x400818
8: 0, 0,  1, 16, 0xffffc88431d0, 0x400834
9: 0, 0,  1, 16, 0xffffc88431a0, 0x400560
10: 0, 0,  0,  8, 0x41fff8, 0x40061c
11: 0, 0,  0, 16, 0xffffc88431a0, 0x40056c
12: 0, 0,  0,  8, 0x41fda0, 0x400850
13: 0, 0,  0, 16, 0xffffc88431c0, 0x400870
14: 0, 0,  0, 16, 0xffffc88431d0, 0x400874
15: 0, 0,  0, 16, 0xffffc88431e0, 0x400878
16: 0, 0,  0, 16, 0xffffc88431b0, 0x40087c
17: 0, 0,  0,  4, 0x420224, 0x4006d4
18: 0, 0,  1,  4, 0x42020c, 0x4006f4
19: 0, 0,  1,  4, 0x420164, 0x400704
20: 0, 0,  1,  4, 0x420014, 0x400708
21: 0, 0,  0, 16, 0x4008c0, 0x400738
22: 0, 0,  0, 16, 0x4008d0, 0x400740
23: 0, 0,  0, 16, 0x4008e0, 0x400748
24: 0, 0,  0, 16, 0x4008f0, 0x400750
25: 0, 0,  0, 16, 0x400900, 0x40075c
26: 0, 0,  0, 16, 0x400910, 0x400768
28: 0, 0,  1, 32, 0x4202b4, 0x400774
29: 0, 0,  0, 16, 0x400920, 0x400778
30: 0, 0,  0, 16, 0x400930, 0x400780
31: 0, 0,  1, 32, 0x4202d4, 0x400788
32: 0, 0,  0, 16, 0x400940, 0x40078c
33: 0, 0,  1, 32, 0x420314, 0x400794
34: 0, 0,  0, 16, 0x400950, 0x400798
35: 0, 0,  1,  8, 0x420354, 0x4007b4
36: 0, 0,  1,  4, 0x42035c, 0x4007c0
37: 0, 0,  1, 32, 0x4202f4, 0x4007cc
38: 0, 0,  1,  4, 0x4200bc, 0x4007d0
39: 0, 0,  1, 32, 0x420334, 0x4007d8
91: 0, 0,  1, 16, 0xffffc88430b0, 0x400698
92: 0, 0,  1,  8, 0xffffc88430c0, 0x4006a0
93: 0, 0,  0,  1, 0x420010, 0x4006a8
94: 0, 0,  1,  1, 0x420010, 0x4006b8
95: 0, 0,  0,  8, 0xffffc88430c0, 0x4006bc
96: 0, 0,  0, 16, 0xffffc88430b0, 0x4006c0
97: 0, 0,  1, 16, 0xffffc88430c0, 0x400888
98: 0, 0,  0, 16, 0xffffc88430c0, 0x400890
